iter	RMSE
0	4375.031531
1	4172.222302
2	3952.925136
3	3761.923323
4	3603.497561
5	3483.174167
6	3369.712872
7	3279.708613
8	3176.542226
9	3103.904286
10	3018.279294
11	2965.617993
12	2917.354445
13	2853.893121
14	2801.779304
15	2755.236386
16	2711.820038
17	2679.869508
18	2645.11486
19	2619.479511
20	2599.859026
21	2584.225272
22	2571.189174
23	2556.708153
24	2536.14968
25	2508.24812
26	2489.802827
27	2475.941668
28	2460.911612
29	2443.056168
30	2430.495795
31	2415.628722
32	2407.823262
33	2394.699391
34	2387.08534
35	2377.540847
36	2369.594798
37	2357.365376
38	2343.110811
39	2337.587351
40	2327.026865
41	2319.991852
42	2311.231635
43	2307.804346
44	2296.887369
45	2291.861143
46	2288.190146
47	2281.424021
48	2277.718863
49	2269.479397
50	2263.951352
51	2261.536101
52	2258.431705
53	2245.893102
54	2238.175584
55	2233.525552
56	2222.545116
57	2218.369628
58	2208.963454
59	2200.998315
60	2197.82623
61	2193.095459
62	2188.598028
63	2186.823268
64	2179.950438
65	2176.271827
66	2170.367316
67	2168.602067
68	2165.347697
69	2161.362414
70	2154.19181
71	2152.298457
72	2150.10285
73	2148.08358
74	2146.071233
75	2144.007371
76	2141.831604
77	2133.215508
78	2130.744422
79	2125.261632
80	2121.123346
81	2113.712511
82	2109.108264
83	2104.136753
84	2100.309202
85	2095.446994
86	2090.529378
87	2085.929501
88	2082.380159
89	2079.637453
90	2075.570172
91	2072.836562
92	2070.901581
93	2067.952711
94	2063.728615
95	2059.752164
96	2057.29215
97	2054.173446
98	2052.295617
99	2048.943365
100	2046.122742
101	2044.938811
102	2043.875287
103	2040.075795
104	2038.587257
105	2033.829409
106	2031.472279
107	2028.192336
108	2024.695086
109	2022.869452
110	2021.576145
111	2020.227748
112	2016.41059
113	2012.431215
114	2011.065024
115	2009.709009
116	2004.677719
117	2004.24517
118	2003.163155
119	1999.685357
120	1999.278
121	1995.761635
122	1995.009204
123	1992.631612
124	1990.620538
125	1987.011276
126	1986.700404
127	1984.18699
128	1981.422419
129	1976.880735
130	1976.70678
131	1972.838932
132	1969.188348
133	1969.032613
134	1967.084117
135	1965.11743
136	1962.867862
137	1962.519831
138	1960.681727
139	1959.425061
140	1957.045059
141	1951.876971
142	1950.100621
143	1947.945926
144	1947.814107
145	1945.388185
146	1945.176704
147	1943.490218
148	1943.373562
149	1941.694071
150	1939.888633
151	1937.909697
152	1937.13174
153	1937.045152
154	1933.873673
155	1931.617713
156	1928.770431
157	1925.577173
158	1923.304095
159	1923.128333
160	1920.828701
161	1919.735196
162	1919.671909
163	1917.674747
164	1917.599053
165	1913.758112
166	1912.232887
167	1910.10298
168	1906.472174
169	1902.681425
170	1899.535977
171	1899.257302
172	1899.146284
173	1896.331882
174	1892.959441
175	1892.894342
176	1891.058127
177	1890.795894
178	1889.111028
179	1887.904843
180	1884.193011
181	1881.968288
182	1880.047816
183	1878.075309
184	1875.726356
185	1874.056392
186	1871.411179
187	1871.316322
188	1869.951624
189	1869.157989
190	1867.894591
191	1866.163674
192	1865.27242
193	1865.240091
194	1862.364393
195	1861.183502
196	1859.766818
197	1857.771263
198	1856.890629
199	1855.560335
200	1853.82344
201	1851.906094
202	1851.876235
203	1851.848098
204	1849.449946
205	1848.198936
206	1847.378237
207	1845.059159
208	1842.526083
209	1840.72616
210	1839.046151
211	1839.011421
212	1836.783072
213	1835.380185
214	1834.404641
215	1834.370612
216	1831.886805
217	1828.696266
218	1826.302311
219	1824.348848
220	1821.560853
221	1815.401504
222	1813.72632
223	1812.397732
224	1810.518466
225	1807.882092
226	1806.546881
227	1804.490587
228	1802.101016
229	1800.939904
230	1799.316125
231	1796.209732
232	1793.579409
233	1792.259028
234	1790.807417
235	1789.882309
236	1788.479017
237	1788.324557
238	1787.361954
239	1786.583081
240	1783.174876
241	1781.874227
242	1780.897008
243	1778.668648
244	1778.065261
245	1776.814371
246	1775.187971
247	1772.53073
248	1772.509129
249	1770.601146
250	1769.874877
251	1768.931579
252	1767.592353
253	1765.571876
254	1763.742293
255	1762.709123
256	1760.86384
257	1759.737744
258	1758.374497
259	1757.934006
260	1756.801682
261	1756.782293
262	1755.486483
263	1753.342523
264	1752.165544
265	1750.296419
266	1749.303873
267	1747.492786
268	1744.271068
269	1742.040461
270	1741.527269
271	1740.499607
272	1738.854172
273	1737.742407
274	1736.432863
275	1736.412286
276	1734.492212
277	1733.479902
278	1733.460431
279	1730.803804
280	1730.057878
281	1729.046253
282	1727.479775
283	1725.298658
284	1723.959526
285	1723.094835
286	1722.500364
287	1719.373575
288	1718.077898
289	1716.386033
290	1716.365932
291	1716.346908
292	1715.372969
293	1712.708606
294	1711.478243
295	1710.435384
296	1708.978767
297	1708.164313
298	1706.915982
299	1706.898024
300	1706.031363
301	1705.246571
302	1705.229292
303	1704.455517
304	1703.343109
305	1702.305374
306	1701.577539
307	1700.98733
308	1700.612439
309	1700.596463
310	1699.257534
311	1699.229266
312	1699.213993
313	1697.656381
314	1695.113218
315	1693.469619
316	1692.225219
317	1690.658603
318	1690.628754
319	1689.342844
320	1688.510824
321	1687.380311
322	1686.417927
323	1685.689393
324	1684.353099
325	1682.455865
326	1680.282578
