iter	Passed	Remaining
0	4	3276
1	9	3163
2	13	3155
3	18	3184
4	22	3135
5	26	3071
6	30	3029
7	35	3034
8	39	2994
9	42	2925
10	47	2960
11	51	2929
12	55	2936
13	60	2952
14	64	2944
15	68	2945
16	71	2889
17	75	2851
18	79	2860
19	83	2842
20	88	2846
21	92	2845
22	95	2812
23	99	2804
24	103	2800
25	107	2793
26	112	2802
27	116	2796
28	120	2799
29	125	2798
30	129	2798
31	135	2830
32	139	2818
33	143	2804
34	146	2780
35	149	2764
36	153	2746
37	157	2741
38	160	2728
39	165	2726
40	169	2719
41	172	2702
42	176	2690
43	178	2664
44	182	2652
45	186	2645
46	189	2636
47	194	2641
48	197	2628
49	200	2609
50	203	2591
51	206	2577
52	210	2570
53	216	2588
54	219	2578
55	223	2575
56	228	2573
57	231	2563
58	235	2556
59	238	2547
60	243	2545
61	245	2526
62	249	2519
63	252	2505
64	255	2498
65	259	2493
66	263	2488
67	266	2477
68	270	2471
69	274	2470
70	277	2458
71	280	2449
72	284	2440
73	287	2431
74	291	2427
75	294	2416
76	298	2411
77	302	2408
78	304	2397
79	308	2391
80	312	2388
81	315	2379
82	319	2376
83	323	2372
84	327	2368
85	330	2359
86	334	2354
87	337	2346
88	339	2333
89	342	2319
90	345	2311
91	349	2306
92	352	2300
93	355	2291
94	359	2289
95	363	2286
96	366	2279
97	370	2276
98	373	2268
99	377	2264
100	380	2259
101	384	2255
102	387	2248
103	394	2259
104	398	2257
105	401	2249
106	404	2243
107	411	2253
108	414	2246
109	417	2239
110	421	2235
111	425	2232
112	428	2227
113	432	2223
114	435	2214
115	437	2205
116	441	2198
117	444	2194
118	448	2190
119	452	2185
120	454	2173
121	457	2167
122	460	2162
123	463	2154
124	467	2151
125	471	2145
126	474	2141
127	478	2137
128	481	2130
129	485	2127
130	488	2121
131	492	2120
132	495	2113
133	499	2109
134	502	2102
135	505	2098
136	509	2094
137	513	2089
138	516	2083
139	519	2079
140	523	2073
141	526	2069
142	531	2069
143	534	2065
144	537	2058
145	541	2056
146	545	2050
147	548	2045
148	551	2038
149	554	2032
150	558	2030
151	562	2026
152	565	2021
153	568	2016
154	572	2011
155	576	2008
156	578	2001
157	582	1997
158	585	1992
159	589	1989
160	594	1989
161	598	1986
162	601	1980
163	604	1976
164	608	1972
165	611	1967
166	614	1961
167	617	1954
168	619	1947
169	624	1946
170	628	1945
171	631	1940
172	634	1934
173	639	1933
174	642	1928
175	645	1922
176	649	1918
177	652	1914
178	655	1908
179	659	1904
180	662	1898
181	666	1896
182	669	1890
183	672	1885
184	676	1881
185	679	1878
186	683	1874
187	686	1868
188	690	1865
189	693	1861
190	696	1857
191	700	1853
192	703	1849
193	707	1844
194	710	1840
195	713	1835
196	717	1830
197	720	1825
198	723	1822
199	727	1818
200	730	1813
201	733	1809
202	737	1804
203	740	1799
204	743	1795
205	746	1790
206	749	1786
207	753	1782
208	757	1779
209	760	1774
210	763	1770
211	765	1762
212	769	1758
213	772	1754
214	777	1752
215	779	1746
216	782	1742
217	787	1740
218	792	1739
219	796	1738
220	800	1734
221	803	1730
222	808	1729
223	811	1724
224	814	1718
225	816	1712
226	820	1709
227	823	1705
228	826	1700
229	830	1697
230	836	1698
231	840	1695
232	844	1692
233	847	1688
234	852	1685
235	855	1681
236	858	1677
237	861	1673
238	864	1667
239	868	1663
240	872	1661
241	875	1656
242	880	1655
243	886	1657
244	889	1652
245	893	1648
246	896	1644
247	900	1640
248	903	1636
249	906	1632
250	910	1628
251	915	1627
252	919	1623
253	922	1619
254	926	1616
255	929	1611
256	932	1608
257	936	1604
258	940	1601
259	946	1601
260	948	1595
261	952	1591
262	954	1586
263	958	1583
264	962	1580
265	965	1575
266	968	1570
267	972	1566
268	976	1565
269	980	1561
270	984	1557
271	987	1553
272	993	1553
273	996	1549
274	998	1543
275	1001	1538
276	1004	1533
277	1007	1529
278	1010	1524
279	1013	1520
280	1016	1516
281	1020	1512
282	1023	1508
283	1026	1504
284	1030	1500
285	1033	1496
286	1038	1494
287	1042	1490
288	1045	1487
289	1049	1483
290	1052	1478
291	1055	1475
292	1059	1472
293	1063	1468
294	1068	1466
295	1071	1462
296	1074	1458
297	1078	1454
298	1086	1457
299	1089	1452
300	1092	1448
301	1095	1444
302	1099	1440
303	1102	1435
304	1106	1432
305	1109	1428
306	1113	1425
307	1116	1421
308	1119	1417
309	1122	1412
310	1126	1408
311	1128	1403
312	1131	1399
313	1134	1394
314	1137	1390
315	1140	1386
316	1144	1383
317	1147	1378
318	1151	1374
319	1154	1370
320	1158	1367
321	1161	1363
322	1165	1359
323	1168	1355
324	1171	1351
325	1174	1347
326	1177	1342
327	1180	1339
328	1184	1335
329	1187	1331
330	1191	1328
331	1195	1325
332	1197	1320
333	1200	1315
334	1203	1311
335	1206	1307
336	1211	1305
337	1214	1301
338	1218	1297
339	1221	1293
340	1225	1289
341	1229	1286
342	1232	1282
343	1236	1279
344	1239	1274
345	1241	1270
346	1244	1265
347	1248	1262
348	1251	1258
349	1254	1254
350	1257	1250
351	1261	1246
352	1264	1242
353	1271	1242
354	1275	1239
355	1278	1235
356	1281	1231
357	1284	1227
358	1287	1222
359	1290	1218
360	1293	1214
361	1296	1210
362	1299	1206
363	1302	1202
364	1306	1199
365	1309	1195
366	1313	1191
367	1317	1188
368	1320	1184
369	1324	1181
370	1327	1176
371	1331	1173
372	1333	1169
373	1337	1165
374	1340	1161
375	1344	1158
376	1349	1156
377	1352	1152
378	1355	1148
